candidate,index,tensor,base_shape,cand_shape,shape_match,dtype_match,n_elems,n_mismatch,max_abs_diff,exact_equal
single_256,2289891,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_256,2289891,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,33486,31.0,False
single_256,2289891,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,253824,3.296881675720215,False
single_256,2289891,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_256,2289891,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_small,2289891,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_small,2289891,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,33486,31.0,False
merged_small,2289891,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,132575,3.296881675720215,False
merged_small,2289891,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_small,2289891,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_big,2289891,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_big,2289891,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,33486,31.0,False
merged_big,2289891,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,132575,3.296881675720215,False
merged_big,2289891,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_big,2289891,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
preprocessed_small,2289891,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
preprocessed_small,2289891,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,33486,31.0,False
preprocessed_small,2289891,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,300109,3.296881675720215,False
preprocessed_small,2289891,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
preprocessed_small,2289891,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,True,131072,0,0.0,True
single_small,1208644,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_small,1208644,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,63748,31.0,False
single_small,1208644,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,268187,3.296881675720215,False
single_small,1208644,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_small,1208644,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_big,1208644,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_big,1208644,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,63748,31.0,False
single_big,1208644,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,268187,3.296881675720215,False
single_big,1208644,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_big,1208644,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_256,1208644,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_256,1208644,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,63748,31.0,False
single_256,1208644,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,268187,3.296881675720215,False
single_256,1208644,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_256,1208644,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_small,1208644,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_small,1208644,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,63748,31.0,False
merged_small,1208644,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,192053,3.296881675720215,False
merged_small,1208644,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_small,1208644,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
merged_big,1208644,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
merged_big,1208644,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,63748,31.0,False
merged_big,1208644,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,192053,3.296881675720215,False
merged_big,1208644,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
merged_big,1208644,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
preprocessed_small,1208644,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
preprocessed_small,1208644,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,63748,31.0,False
preprocessed_small,1208644,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,317232,3.296881675720215,False
preprocessed_small,1208644,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
preprocessed_small,1208644,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,True,131072,0,0.0,True
single_small,1379075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_small,1379075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_small,1379075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,235899,3.184660494327545,False
single_small,1379075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_small,1379075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
single_big,1379075,x_continuous,"(2, 15, 256, 256)","(2, 15, 256, 256)",True,True,1966080,393216,18.42068099975586,False
single_big,1379075,x_kg,"(2, 1, 256, 256)","(2, 1, 256, 256)",True,True,131072,0,0.0,True
single_big,1379075,x_static,"(6, 256, 256)","(6, 256, 256)",True,True,393216,235899,3.184660494327545,False
single_big,1379075,x_hilda_prior,"(1, 256, 256)","(1, 256, 256)",True,True,65536,0,0.0,True
single_big,1379075,hilda_target,"(2, 256, 256)","(2, 256, 256)",True,False,131072,0,0.0,True
